PRE-PROCESS RESULT FOR preprocessLog\jrrgxf_5Min_Week1.csv
Window Time Frame: 300 Seconds
Window Start Time,Window End Time,Octet/Duration Average,
Fri Feb 15 14:50:00 2013,Fri Feb 15 14:55:00 2013,0,
Fri Feb 15 14:55:00 2013,Fri Feb 15 15:00:00 2013,0,
Fri Feb 15 15:00:00 2013,Fri Feb 15 15:05:00 2013,0,
Fri Feb 15 15:05:00 2013,Fri Feb 15 15:10:00 2013,0,
Fri Feb 15 15:10:00 2013,Fri Feb 15 15:15:00 2013,0,
Fri Feb 15 15:15:00 2013,Fri Feb 15 15:20:00 2013,0,
Fri Feb 15 15:20:00 2013,Fri Feb 15 15:25:00 2013,0,
Fri Feb 15 15:25:00 2013,Fri Feb 15 15:30:00 2013,0,
Fri Feb 15 15:30:00 2013,Fri Feb 15 15:35:00 2013,0,
Fri Feb 15 15:35:00 2013,Fri Feb 15 15:40:00 2013,0,
Fri Feb 15 15:40:00 2013,Fri Feb 15 15:45:00 2013,0,
Fri Feb 15 15:45:00 2013,Fri Feb 15 15:50:00 2013,0,
Fri Feb 15 15:50:00 2013,Fri Feb 15 15:55:00 2013,0,
Fri Feb 15 15:55:00 2013,Fri Feb 15 16:00:00 2013,0,
Fri Feb 15 16:00:00 2013,Fri Feb 15 16:05:00 2013,0,
Fri Feb 15 16:05:00 2013,Fri Feb 15 16:10:00 2013,0,
Fri Feb 15 16:10:00 2013,Fri Feb 15 16:15:00 2013,0,
Fri Feb 15 16:15:00 2013,Fri Feb 15 16:20:00 2013,0,
Fri Feb 15 16:20:00 2013,Fri Feb 15 16:25:00 2013,0,
Fri Feb 15 16:25:00 2013,Fri Feb 15 16:30:00 2013,0,
Fri Feb 15 16:30:00 2013,Fri Feb 15 16:35:00 2013,0,
Fri Feb 15 16:35:00 2013,Fri Feb 15 16:40:00 2013,0,
Fri Feb 15 16:40:00 2013,Fri Feb 15 16:45:00 2013,0,
Fri Feb 15 16:45:00 2013,Fri Feb 15 16:50:00 2013,0,
Fri Feb 15 16:50:00 2013,Fri Feb 15 16:55:00 2013,0,
Fri Feb 15 16:55:00 2013,Fri Feb 15 17:00:00 2013,0,
